siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NH02,NA1920OW,"1980-01-08 14:45","1980-01-15 14:00",198001,4.480,23.600," ",.090," ",.132," ",.042," ",1.210," ",.080," ",1.180," ",1.850," ",1.500,0,-9,1817.800,26.420,26.420,"w ","            ",1985-05-17
NH02,NA1951OW,"1980-01-15 14:00","1980-01-22 14:10",198001,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,2.300,.250,.250,"  ","v           ",1985-06-06
NH02,NA2028OW,"1980-01-22 14:10","1980-01-29 14:00",198001,4.350,20.400,<,.020," ",.007,<,.004," ",.036," ",.030," ",2.690,<,.050," ",.450,0,-9,541.900,8.640,8.640,"w ","            ",1985-05-17
NH02,NA2019OW,"1980-01-29 14:00","1980-02-05 14:00",198002,-9.000,-9.000,<,-9.000," ",-9.000,<,-9.000," ",-9.000,<,-9.000," ",-9.000,<,-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
NH02,NA2059OW,"1980-02-05 14:00","1980-02-12 14:00",198002,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
NH02,NA2122OW,"1980-02-12 14:00","1980-02-19 13:30",198002,4.650,10.900," ",.090," ",.025," ",.013," ",.045," ",.040," ",1.850," ",.200," ",.400,0,-9,755.100,12.190,12.190,"w ","            ",1986-05-21
NH02,NA2149OW,"1980-02-19 13:30","1980-02-26 14:00",198002,4.170,24.700," ",.050," ",.013," ",.010," ",.059," ",.100," ",1.700," ",.200," ",1.950,0,-9,884.200,13.720,13.720,"w ","            ",1985-05-17
NH02,NA2211OW,"1980-02-26 14:00","1980-03-04 14:00",198002,3.950,48.300," ",.100," ",.032," ",.009," ",.053," ",.070," ",6.780," ",.420," ",.580,0,-9,128.200,3.810,3.810,"w ","            ",1985-05-17
NH02,NA2238OW,"1980-03-04 14:00","1980-03-11 18:20",198003,4.320,20.900," ",.030," ",.012,<,.004," ",.015," ",.090," ",1.920," ",.250," ",1.350,0,-9,4057.600,61.720,61.720,"w ","            ",1985-05-17
NH02,NA2274OW,"1980-03-11 18:20","1980-03-18 21:20",198003,4.480,13.600," ",.050," ",.016," ",.005," ",.043,<,.020," ",.790,<,.050," ",1.250,0,-9,3972.000,60.960,60.960,"w ","            ",1985-05-17
NH02,NA2307OW,"1980-03-18 21:20","1980-03-25 17:35",198003,4.360,24.600," ",.170," ",.053," ",.018," ",.231," ",.150," ",2.000," ",.570," ",1.810,0,-9,72.400,1.270,1.270,"w ","            ",1985-05-17
NH02,NA2380OW,"1980-03-25 17:35","1980-04-01 14:00",198003,4.200,28.100," ",.030," ",.019," ",.015," ",.083," ",.140," ",2.420," ",.180," ",1.600,0,-9,585.900,8.640,8.640,"w ","            ",1986-05-21
NH02,NA2409OW,"1980-04-01 14:00","1980-04-08 14:00",198004,4.330,24.000," ",.140," ",.035," ",.007," ",.082," ",.110," ",1.460," ",.160," ",2.150,0,-9,925.000,13.970,13.970,"w ","            ",1985-05-17
NH02,NA2491OW,"1980-04-08 14:00","1980-04-15 17:50",198004,4.530,15.300," ",.070," ",.031," ",.020," ",.180,<,.020," ",1.020," ",.290," ",1.310,0,-9,4994.600,75.180,75.180,"w ","            ",1985-05-17
NH02,NA2496OW,"1980-04-15 17:50","1980-04-22 14:00",198004,3.730,104.100," ",1.160," ",.227," ",.119," ",.103," ",1.640," ",12.000," ",.630," ",9.360,0,-9,224.200,3.810,3.810,"w ","            ",1985-05-17
NH02,NA2552OW,"1980-04-22 14:00","1980-04-29 12:15",198004,4.360,33.300," ",.250," ",.040," ",.026," ",1.957," ",.350," ",2.620," ",.450," ",5.500,0,-9,1164.100,17.020,17.020,"w ","            ",1985-05-17
